time	motion	power_consumption	acoustic_pressure_dB	door_opening	label
2015-05-10 12:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 13:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 13:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 14:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 14:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 15:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 15:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 16:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 16:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 17:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 17:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 18:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 18:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 19:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 19:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 20:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 20:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 21:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 21:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 22:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 22:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 23:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-10 23:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-11 00:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-11 00:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-11 01:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-11 01:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-11 02:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-11 02:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-11 03:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-11 03:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-11 04:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-11 04:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-11 05:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-11 05:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-11 06:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-11 06:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-11 07:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-11 07:30:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-11 08:00:00	0.000000	0.000000	0.001000	0.000000	0.000000
2015-05-11 08:30:00	2.000000	0.000000	0.017287	0.294101	1.000000
2015-05-11 09:00:00	8.000000	1.000000	0.020300	1.000000	1.000000
2015-05-11 09:30:00	7.000000	1.000000	0.014416	1.000000	1.000000
2015-05-11 10:00:00	5.000000	1.000000	0.018243	0.128025	1.000000
2015-05-11 10:30:00	5.000000	2.000000	0.023330	0.004603	1.000000
2015-05-11 11:00:00	6.000000	2.000000	0.023258	0.005117	2.000000
2015-05-11 11:30:00	4.000000	2.000000	0.021726	0.003676	2.000000
2015-05-11 12:00:00	8.000000	2.000000	0.017816	0.355394	2.000000
2015-05-11 12:30:00	7.000000	2.000000	0.018563	0.002287	1.000000
2015-05-11 13:00:00	5.000000	1.000000	0.014451	0.000000	1.000000
2015-05-11 13:30:00	6.000000	1.000000	0.018858	0.038347	1.000000
2015-05-11 14:00:00	4.000000	2.000000	0.045101	0.857891	2.000000
